segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long
1913,216239517,,secondary,6.471498799999999,3.3121390000000006,6.471498799999999,3.3121390000000006
1920,216245279,Alakoso Avenue,tertiary,6.484981069533162,3.31858968536945,6.480579198017884,3.3175959039565117
1924,216245284,Alakoso Avenue,tertiary,6.476025163403182,3.3173021823368103,6.48051849837368,3.3177675844531005
1926,216245284,Alakoso Avenue,tertiary,6.484918614725879,3.3187604549578986,6.489320837048914,3.3196197540560437
1930,216470249,,secondary,6.524030400000001,3.3855104000000003,6.5176419999999995,3.3850179
1931,216470250,,secondary,6.5176056,3.3843201,6.52168651350194,3.3856705073068585
1933,216470252,University Road,secondary,6.5175138,3.3837653000000003,6.517566500000001,3.3840290000000004
1934,216470253,University Road,secondary,6.517566500000001,3.3840290000000004,6.517641774882885,3.3884943595943677
1936,216613128,Isolo - Ejibgo Road,secondary,6.529721199999999,3.3157939000000005,6.529667945728846,3.311852502668033
1938,216613128,Isolo - Ejibgo Road,secondary,6.530524385105196,3.3081209953750976,6.534602212249221,3.306194698714716
1943,216613133,Okota Road,secondary,6.519302899999998,3.3178245000000004,6.523825883254028,3.3178115677405624
1948,216613134,Isolo - Ejigo Road,secondary,6.531582476317986,3.3073452139134494,6.528748678360567,3.3106792974652253
1953,216689317,Alexander Avenue,secondary,6.45560028087185,3.4379464131077544,6.45472964809149,3.4420988496190947
1954,216689317,Alexander Avenue,secondary,6.45472964809149,3.4420988496190947,6.455509777146688,3.4460756151353222
1955,216689317,Alexander Avenue,secondary,6.455509777146688,3.4460756151353222,6.4521275645804135,3.4490099943375663
1962,216689321,,secondary,6.447118800000001,3.4609174999999994,6.4468806999999995,3.4609376000000003
1964,216689325,,secondary,6.4470648,3.4612119,6.4471716,3.4609856000000003
1966,216689327,Alexander Avenue,secondary,6.4497391,3.4492683,6.453630918812748,3.4476337126959984
1969,216689327,Alexander Avenue,secondary,6.454540327926117,3.440132432882866,6.457233873489058,3.436701166904225
1970,216689327,Alexander Avenue,secondary,6.457233873489058,3.436701166904225,6.4592947999999994,3.4355584
1976,216691446,Old Lagos Road,primary,6.653373,3.793357,6.651102302431884,3.789739983142922
1979,216691446,Old Lagos Road,primary,6.648106897945488,3.7812461651522318,6.646315508386669,3.77709519051609
1983,216691446,Old Lagos Road,primary,6.647554450016963,3.763789104170891,6.647060912665554,3.7592933149741183
1987,216691446,Old Lagos Road,primary,6.648056767164968,3.7457803792280138,6.6485319399925675,3.741282200815522
1989,216691446,Old Lagos Road,primary,6.64864781058753,3.73677231957649,6.6473259880342965,3.732471816372123
1993,216691446,Old Lagos Road,primary,6.6470130448170615,3.7195192232496717,6.648314433235453,3.7151872926156786
1994,216691446,Old Lagos Road,primary,6.648314433235453,3.7151872926156786,6.649620045876199,3.710856620250732
1999,216691446,Old Lagos Road,primary,6.654814520877265,3.693525409627673,6.65643915546289,3.6893101399138213
2000,216691446,Old Lagos Road,primary,6.65643915546289,3.6893101399138213,6.658439879604783,3.685253454271493
2006,216691446,Old Lagos Road,primary,6.671488738723246,3.6673112747421084,6.671961572995268,3.662812645471917
2008,216691446,Old Lagos Road,primary,6.6729615386487,3.6584118638263283,6.6743063224031145,3.6540960428808917
2012,216691446,Old Lagos Road,primary,6.66861485646104,3.642484552735298,6.6658146311258495,3.6389427669352346
2015,216691446,Old Lagos Road,primary,6.663222216558895,3.6304645322273386,6.663396926231217,3.6259444501119384
2018,216691446,Old Lagos Road,primary,6.663746409581218,3.616904271959582,6.663924437020802,3.612384305401507
2019,216691446,Old Lagos Road,primary,6.663924437020802,3.612384305401507,6.664108937066678,3.607864590632996
2020,216691446,Old Lagos Road,primary,6.664108937066678,3.607864590632996,6.664250589420166,3.6033442494318484
2029,216691446,Old Lagos Road,primary,6.648055087109053,3.5719225764915272,6.647160773377344,3.567521600929978
